date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-08-16,745,245,948,118,857,138,Saturday,2020,8,16,SiGuniang,570.3220817,1309.307089,2365.370829
2020-08-17,445,484,1029,204,853,139,Sunday,2020,8,17,SiGuniang,456.7732189,949.1052003,2539.121581
2020-08-18,18,617,1233,166,653,140,Monday,2020,8,18,SiGuniang,336.464513,928.7228608,2252.812626
2020-08-19,102,470,962,123,719,141,Tuesday,2020,8,19,SiGuniang,234.2210941,866.094902,2501.684004
2020-08-20,19,422,898,190,729,142,Wednesday,2020,8,20,SiGuniang,175.2647878,874.871422,2468.86379
2020-08-21,15,416,872,152,681,143,Thursday,2020,8,21,SiGuniang,143.7811422,926.0094358,2445.209422
2020-08-22,24,236,871,104,563,144,Friday,2020,8,22,SiGuniang,123.2978886,1164.539329,2236.162782
2020-08-23,10,216,870,80,478,145,Saturday,2020,8,23,SiGuniang,113.6964237,1326.372365,2069.931211
2020-08-24,49,447,893,170,674,146,Sunday,2020,8,24,SiGuniang,106.1505548,933.6315718,2509.217873
2020-08-25,15,431,902,154,620,147,Monday,2020,8,25,SiGuniang,102.7539171,891.9880394,2520.258043
2020-08-26,30,425,862,158,776,148,Tuesday,2020,8,26,SiGuniang,103.7920041,864.8435578,2561.364438
2020-08-27,8,443,856,169,783,149,Wednesday,2020,8,27,SiGuniang,104.2036108,878.2552107,2525.541179
2020-08-28,21,405,864,175,757,150,Thursday,2020,8,28,SiGuniang,112.5802324,943.7775576,2464.64221
2020-08-29,91,218,866,121,620,151,Friday,2020,8,29,SiGuniang,125.8935392,1196.102218,2269.004242
2020-08-30,56,213,846,99,609,152,Saturday,2020,8,30,SiGuniang,139.6952247,1331.468908,2084.835867
2020-08-31,67,488,843,155,436,153,Sunday,2020,8,31,SiGuniang,153.8753109,909.9973111,2503.127378
2020-09-01,48,484,851,129,458,154,Monday,2020,9,1,SiGuniang,174.5420435,853.8221721,2519.635784
2020-09-02,83,580,877,139,603,155,Tuesday,2020,9,2,SiGuniang,204.8941948,855.72426,2522.381545
2020-09-03,183,642,879,169,571,156,Wednesday,2020,9,3,SiGuniang,251.1760894,884.3880172,2547.435893
2020-09-04,135,484,881,118,437,157,Thursday,2020,9,4,SiGuniang,312.5915903,967.5833562,2354.825053
2020-09-05,294,259,894,129,404,158,Friday,2020,9,5,SiGuniang,371.2032175,1230.57612,2192.220663
